"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2025","80.42","79.41","81.15","79.05","12.51M","-0.37%"
"05/02/2025","80.72","79.58","81.67","79.10","18.90M","3.79%"
"05/01/2025","77.77","79.40","79.89","77.64","15.35M","1.07%"
"04/30/2025","76.95","73.62","77.14","73.50","19.78M","0.09%"
"04/29/2025","76.88","77.94","78.19","76.47","17.10M","-2.14%"
"04/28/2025","78.56","78.76","79.61","76.92","16.88M","-1.53%"
"04/25/2025","79.78","77.55","80.30","76.90","19.75M","3.05%"
"04/24/2025","77.42","74.57","77.59","73.60","23.88M","6.16%"
"04/23/2025","72.93","73.69","75.40","72.50","26.39M","3.87%"
"04/22/2025","70.21","67.54","70.40","67.44","20.35M","5.20%"
"04/21/2025","66.74","67.76","68.00","65.64","19.83M","-2.99%"
"04/17/2025","68.80","70.43","70.48","67.00","20.69M","-0.76%"
"04/16/2025","69.33","67.93","70.45","67.17","28.48M","-2.41%"
"04/15/2025","71.04","71.12","72.80","70.55","19.13M","0.03%"
"04/14/2025","71.02","74.67","74.78","69.97","32.63M","2.11%"
"04/11/2025","69.55","69.04","70.17","66.82","30.81M","-0.71%"
"04/10/2025","70.05","72.50","73.05","67.50","44.88M","-10.04%"
"04/09/2025","77.87","66.20","78.56","63.70","63.13M","18.81%"
"04/08/2025","65.54","71.60","72.97","63.52","40.82M","-4.14%"
"04/07/2025","68.37","63.94","72.46","61.54","50.18M","5.64%"
"04/04/2025","64.72","70.65","71.34","63.86","50.74M","-12.94%"
"04/03/2025","74.34","82.92","83.35","74.21","44.84M","-16.09%"
"04/02/2025","88.60","87.13","89.93","86.70","14.52M","-0.12%"
"04/01/2025","88.71","88.53","88.89","86.25","15.34M","2.09%"
